,Institution_Name
0,Community College of the Air Force
1,Community College of the Air Force
2,Alabama A & M University
3,Alabama A & M University
4,Alabama A & M University
5,Alabama A & M University
6,University of Alabama at Birmingham
7,University of Alabama at Birmingham
8,University of Alabama at Birmingham
9,University of Alabama at Birmingham
10,University of Alabama at Birmingham
11,University of Alabama at Birmingham
12,University of Alabama at Birmingham
13,University of Alabama at Birmingham
14,University of Alabama at Birmingham
15,University of Alabama at Birmingham
16,University of Alabama at Birmingham
17,University of Alabama at Birmingham
18,University of Alabama at Birmingham
19,University of Alabama at Birmingham
20,University of Alabama at Birmingham
21,University of Alabama at Birmingham
22,University of Alabama at Birmingham
23,University of Alabama at Birmingham
24,University of Alabama at Birmingham
25,University of Alabama at Birmingham
26,University of Alabama at Birmingham
27,University of Alabama at Birmingham
28,University of Alabama at Birmingham
29,University of Alabama at Birmingham
30,University of Alabama at Birmingham
31,University of Alabama at Birmingham
32,University of Alabama at Birmingham
33,University of Alabama at Birmingham
34,University of Alabama at Birmingham
35,University of Alabama at Birmingham
36,University of Alabama at Birmingham
37,University of Alabama at Birmingham
38,University of Alabama at Birmingham
39,University of Alabama at Birmingham
40,University of Alabama at Birmingham
41,Amridge University
42,Amridge University
43,University of Alabama at Huntsville
44,University of Alabama at Huntsville
45,University of Alabama at Huntsville
46,University of Alabama at Huntsville
47,University of Alabama at Huntsville
48,University of Alabama at Huntsville
49,Alabama State University
50,Alabama State University
51,Alabama State University
52,Alabama State University
53,Alabama State University
54,Alabama State University
55,Alabama State University
56,The University of Alabama
57,The University of Alabama
58,The University of Alabama
59,The University of Alabama
60,The University of Alabama
61,The University of Alabama
62,The University of Alabama
63,The University of Alabama
64,The University of Alabama
65,The University of Alabama
66,The University of Alabama
67,The University of Alabama
68,The University of Alabama
69,The University of Alabama
70,The University of Alabama
71,Central Alabama Community College
72,Central Alabama Community College
73,Central Alabama Community College
74,Central Alabama Community College
75,Athens State University
76,Athens State University
77,Athens State University
78,Athens State University
79,Athens State University
80,Athens State University
81,Athens State University
82,Auburn University-Montgomery
83,Auburn University-Montgomery
84,Auburn University-Montgomery
85,Auburn University Main Campus
86,Auburn University Main Campus
87,Auburn University Main Campus
88,Auburn University Main Campus
89,Auburn University Main Campus
90,Auburn University Main Campus
91,Auburn University Main Campus
92,Auburn University Main Campus
93,Auburn University Main Campus
94,Auburn University Main Campus
95,Auburn University Main Campus
96,Auburn University Main Campus
97,Auburn University Main Campus
98,Auburn University Main Campus
99,Auburn University Main Campus
100,Auburn University Main Campus
101,Auburn University Main Campus
102,Auburn University Main Campus
103,Auburn University Main Campus
104,Birmingham Southern College
105,Birmingham Southern College
